TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
PHI,24,78,49,29,29.6,14.6,5.2,11.4,45.3,2.0,5.1,39.3,2.3,2.7,86.0,2.0,4.7,6.7,2.6,1.9,0.7,0.3,2.1,27.3,13,0,3.7
DEN,33,38,22,16,30.1,14.6,5.3,11.4,46.4,1.0,3.0,34.5,2.9,4.2,69.6,1.7,4.7,6.4,2.8,1.9,1.0,1.2,2.6,31.1,2,0,2.7
DET,28,45,27,18,26.7,14.6,5.5,12.8,42.6,1.2,3.8,30.8,2.5,3.0,83.6,0.6,2.1,2.8,5.3,2.2,0.6,0.1,1.9,25.7,0,0,0.3
BOS,21,70,47,23,30.7,14.5,5.3,11.5,46.5,1.7,4.4,39.5,2.1,3.3,64.4,0.9,4.0,4.9,1.6,1.8,1.0,0.4,2.6,25.2,2,0,4.9
SAC,36,59,18,41,25.6,14.5,6.1,12.9,47.3,0.9,2.5,34.7,1.4,1.8,78.5,1.6,5.1,6.7,2.2,2.0,0.7,0.2,2.0,26.5,8,0,-6.0
POR,23,79,48,31,26.4,14.3,6.1,12.0,50.5,0.0,0.1,0.0,2.2,3.5,63.0,2.4,6.6,9.0,1.8,2.3,0.8,1.4,3.1,32.1,27,0,2.0
MIA,26,30,16,14,30.6,14.3,5.4,13.7,39.8,1.7,5.7,30.6,1.7,2.3,73.9,0.3,2.3,2.6,3.8,2.3,0.8,0.3,2.0,23.9,0,0,-2.8
IND,29,80,47,33,30.8,14.3,5.1,10.7,47.4,1.9,4.8,40.2,2.2,2.6,86.8,0.4,3.0,3.4,1.5,1.3,0.7,0.1,1.6,21.6,0,0,1.1
LAC,27,46,22,24,31.2,14.3,5.6,13.6,41.4,1.6,4.4,36.9,1.4,1.8,76.8,0.5,2.0,2.5,2.0,2.2,1.1,0.2,2.0,22.0,0,0,-2.7
MIN,30,70,41,29,33.0,14.2,5.1,11.3,44.6,1.2,3.3,36.8,2.9,3.4,84.5,0.3,2.6,3.0,7.0,2.5,1.5,0.3,2.4,31.2,13,0,2.0
ATL,24,82,24,58,30.0,14.1,5.1,11.9,42.6,2.1,5.6,38.5,1.9,2.2,84.4,0.6,4.1,4.7,2.6,2.3,1.0,0.5,2.0,26.0,5,0,-4.5
NYK,26,71,27,44,25.8,14.1,5.9,10.0,59.2,0.0,0.0,0.0,2.2,2.6,84.8,3.8,7.1,11.0,1.5,1.7,0.5,0.5,2.6,30.9,39,0,-2.6
MIA,29,54,30,24,25.3,14.0,5.8,10.7,54.0,0.0,0.0,100,2.4,3.4,70.3,3.2,8.2,11.4,1.0,1.7,0.7,1.7,2.4,34.8,28,0,-1.5
ORL,28,69,21,48,29.4,13.9,5.1,11.0,46.5,1.0,3.0,33.8,2.7,3.5,76.8,0.9,2.6,3.5,2.5,2.1,0.8,0.2,2.5,22.9,0,0,-4.3
BKN,23,68,26,42,28.2,13.9,5.0,10.6,47.2,0.2,0.8,24.1,3.7,4.6,78.8,1.5,5.3,6.8,2.5,1.8,1.0,0.7,2.1,28.9,12,0,-2.7
BOS,20,80,53,27,30.5,13.9,5.0,10.4,47.5,1.3,3.0,43.4,2.7,3.2,82.6,0.6,4.4,5.0,1.6,1.4,1.0,0.7,2.1,26.2,4,0,4.3
OKC,24,76,43,33,32.7,13.9,5.9,9.4,62.9,0.0,0.0,0.0,2.1,3.8,55.9,5.1,4.0,9.0,1.2,1.7,1.2,1.0,2.8,31.5,28,0,4.2
CLE,26,81,40,41,23.3,13.9,5.3,11.8,45.1,1.4,3.9,35.2,1.9,2.3,80.0,0.7,2.0,2.7,2.7,1.6,0.7,0.1,1.3,22.0,1,0,-0.5
HOU,24,74,62,12,27.5,13.9,6.0,9.1,65.2,0.0,0.0,0.0,1.9,3.5,56.0,3.3,7.6,10.8,0.9,1.4,0.8,1.9,2.5,34.8,42,0,5.1
BOS,28,54,34,20,26.7,13.6,4.9,11.3,42.9,1.6,4.3,36.8,2.3,2.9,80.5,0.8,4.6,5.4,1.3,1.2,0.6,0.2,1.9,23.4,2,0,0.4
UTA,26,56,37,19,32.4,13.5,4.9,7.9,62.2,0.0,0.0,0.0,3.6,5.3,68.2,2.9,7.8,10.7,1.4,1.9,0.8,2.3,2.7,35.9,31,0,6.1
SAC,24,80,27,53,25.3,13.5,5.2,11.7,44.6,2.2,5.1,43.1,0.9,1.0,87.7,0.7,3.2,3.8,1.9,1.6,1.1,0.3,1.9,23.5,0,0,-1.9
BKN,31,73,25,48,29.9,13.5,4.5,10.8,41.4,2.0,5.4,37.1,2.6,3.4,76.4,1.4,5.1,6.6,2.0,1.4,0.8,0.4,2.3,26.6,13,0,-0.9
CHI,24,52,19,33,29.3,13.4,5.5,12.8,42.9,0.8,2.6,32.1,1.6,2.2,73.7,0.5,3.8,4.3,6.0,2.9,2.0,0.5,3.3,32.2,4,0,-5.3
LAL,25,74,31,43,33.2,13.4,4.6,10.8,42.6,2.1,5.6,38.3,2.1,2.6,78.9,0.8,4.4,5.2,2.2,1.3,1.4,0.2,2.0,26.6,4,0,-0.7
CHI,23,73,25,48,22.5,13.2,5.2,11.1,47.1,1.1,3.1,35.9,1.6,2.1,76.9,2.2,4.6,6.8,1.7,1.4,0.7,0.3,1.8,25.5,12,0,-1.1
BKN,26,75,25,50,29.3,13.2,4.5,11.0,40.7,2.7,7.1,37.8,1.5,1.8,85.2,0.4,3.9,4.3,1.6,1.0,0.6,0.5,2.2,23.0,0,0,-1.0
NYK,29,74,24,50,22.3,13.2,5.5,10.9,50.7,0.5,1.2,39.5,1.7,2.1,78.0,1.3,4.3,5.6,1.7,1.9,0.5,0.6,2.0,23.7,10,0,-1.9
