PLAYER,SALARY
'CJ Wilcox',"$75,000"
'Danuel House',"$75,000"
'Alec Peters',"$75,000"
'James Young',"$75,000"
'Jacob Pullen',"$75,000"
'James Michael McAdoo',"$75,000"
'Jamel Artis',"$75,000"
'Adreian Payne',"$75,000"
'PJ Dozier',"$75,000"
'Daniel Hamilton',"$75,000"
'Isaiah Hicks',"$75,000"
'Luke Kornet',"$75,000"
'Charles Cooke',"$75,000"
'Amile Jefferson',"$75,000"
'Anthony Brown',"$75,000"
'Marshall Plumlee',"$75,000"
'Xavier Munford',"$75,000"
'Derrick Walton',"$75,000"
'Matt Williams',"$75,000"
'Myke Henry',"$75,000"
'Vince Hunter',"$75,000"
'Kobi Simmons',"$75,000"
'Vander Blue',"$75,000"
'Alex Caruso',"$75,000"
'Tyrone Wallace',"$75,000"
'CJ Williams',"$75,000"
'Jamil Wilson',"$75,000"
'Ben Moore',"$75,000"
'Edmond Sumner',"$75,000"
'Markel Brown',"$75,000"
'RJ Hunter',"$75,000"
'Chris Boucher',"$75,000"
'Reggie Hearn',"$75,000"
'Luis Montero',"$75,000"
'Monte Morris',"$75,000"
'Torrey Craig',"$75,000"
'Jalen Jones',"$75,000"
'Gian Clavell',"$75,000"
'Johnathan Motley',"$75,000"
'London Perrantes',"$75,000"
'John Holland',"$75,000"
'Ryan Arcidiacono',"$75,000"
'Antonio Blakeney',"$75,000"
'Marcus Paige',"$75,000"
'Mangok Mathiang',"$75,000"
'James Webb',"$75,000"
'Jacob Wiley',"$75,000"
'Yakuba Ouattara',"$75,000"
'Jabari Bird',"$75,000"
'Kadeem Allen',"$75,000"
'Andrew White',"$75,000"
'Tyler Cavanaugh',"$75,000"
'Josh Magette',"$75,000"
'Scotty Hopson',"$74,158"
'Jonathan Gibson',"$74,158"
'Xavier Silas',"$74,158"
'Daniel Ochefu',"$50,000"
'Bronson Koenig',"$50,000"
'VJ Beachem',"$50,000"
'Landry Nnoko',"$50,000"
'Andre Ingram',"$46,079"
'Trey McKinney-Jones',"$46,079"
'Aaron Jackson',"$46,079"
'Jameel Warney',"$46,079"
'Marcus Thornton II',"$46,079"
